Ki [nM],pKi,standardized_smiles
19.95,7.700057099977233,CN1CC(NS(=O)(=O)N(C)C)CC2c3cccc4c3c(cn4C)CC21
1200.0,5.920818753952375,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1
2.0,8.698970004336019,Oc1c2c(c(O)n1CC1CCCCC1CN1CCN(c3nsc4ccccc34)CC1)C1CCC2C1
65.0,7.187086643357144,CN(C)CCc1c[nH]c2ccccc12
1044.565,5.981064530060887,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1
1100.0,5.958607314841775,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3o2)CC1
2.97,8.527243550682787,CC(C)(C)C1(O)CCN2CC3c4ccccc4CCc4cccc(c43)C2C1
4.24,8.372634143407268,CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O
963.6,6.0161032086736945,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1
9.53,8.020907099361674,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21
20.1,7.696803942579511,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cc(F)c(F)cc45)CC3)cc21
3.55,8.449771646944907,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(Cl)c21
1.13,8.94692155651658,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(Cl)c21
7.91,8.101823516502323,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cc(F)c(F)cc45)CC3)cc21
3.16,8.500312917381596,O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4CCC5)CC3)cc21
34.4,7.46344155742847,O=C1NCc2cc(Cl)c(OCCCN3CCN(c4cccc5ccccc45)CC3)cc21
24.7,7.607303046740334,O=C1NCc2cc(Cl)c(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21
10.1,7.995678626217358,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCC5)CC3)cc21
4.29,8.367542707815275,O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4CCO5)CC3)cc21
8.84,8.053547734986926,O=C1NCc2cc(Cl)c(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
25.3,7.5968794788241825,O=C1NCc2cc(Cl)c(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
53.4,7.272458742971444,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCO5)CC3)cc21
126.0,6.899629454882437,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4COC5)CC3)cc21
9.43,8.025488307262671,Cc1c(OCCCN2CCN(c3cccc4ccccc34)CC2)ccc2c1C(=O)NC2
1.26,8.899629454882437,Cc1c(OCCCCN2CCN(c3cccc4ccccc34)CC2)ccc2c1C(=O)NC2
4.86,8.313363730737706,O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4CCCC5)CC3)cc21
3.35,8.474955192963154,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCCC5)CC3)cc21
16.1,7.79317412396815,Cc1c(OCCCN2CCN(c3cccc4cccc(F)c34)CC2)ccc2c1C(=O)NC2
3.85,8.414539270491499,Cc1c(OCCCCN2CCN(c3cccc4cccc(F)c34)CC2)ccc2c1C(=O)NC2
25.3,7.5968794788241825,O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4OCCC5)CC3)cc21
17.1,7.767003889607846,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)cc21
12.5,7.903089986991944,Cc1c(OCCCN2CCN(c3cccc4cc(F)ccc34)CC2)ccc2c1C(=O)NC2
14.0,7.853871964321762,Cc1c(OCCCCN2CCN(c3cccc4cc(F)ccc34)CC2)ccc2c1C(=O)NC2
11.1,7.954677021213342,O=C1NCc2ccc(OCCCN3CCN(c4cccc5c4COCC5)CC3)cc21
5.44,8.26440110030182,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4COCC5)CC3)cc21
55.9,7.252588192113577,Cc1cc2c(cc1OCCCN1CCN(c3cccc4ccccc34)CC1)C(=O)NC2
36.8,7.434152181326482,Cc1cc2c(cc1OCCCCN1CCN(c3cccc4ccccc34)CC1)C(=O)NC2
11.2,7.950781977329818,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5c4CCOC5)CC3)cc21
2.21,8.655607726314889,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccccc45)CC3)c(F)c21
65.7,7.182434630440219,Cc1cc2c(cc1OCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)NC2
55.0,7.259637310505756,Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)NC2
1.08,8.96657624451305,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)c(F)c21
3.45,8.462180904926726,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c21
52.0,7.2839966563652006,Cc1cc2c(cc1OCCCN1CCN(c3cccc4cc(F)ccc34)CC1)C(=O)NC2
29.5,7.530177984021837,Cc1cc2c(cc1OCCCCN1CCN(c3cccc4cc(F)ccc34)CC1)C(=O)NC2
0.568,9.245651664288982,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c21
0.904,9.043831569524636,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)c(F)c21
1776.0,5.750557038557417,CCCCN1CCC(COC(=O)c2cc(Cl)c(NC)c3c2OCCO3)CC1
1.76,8.75448733218585,c1ccc2c(N3CCN(CCCOc4ccc5c(c4)CNC5)CC3)cccc2c1
2.1,8.67778070526608,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)c(F)c21
5.41,8.26680273489343,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21
5.07,8.294992040666664,c1ccc2c(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)cccc2c1
0.72,9.142667503568731,Fc1ccc2cccc(N3CCN(CCCOc4ccc5c(c4)CNC5)CC3)c2c1
3.07,8.512861624522813,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21
32.1,7.493494967595128,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5ccccc45)CC3)cc21
0.483,9.316052869248487,Fc1ccc2cccc(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)c2c1
14.9,7.826813731587726,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccccc45)CC3)cc21
13.0,7.886056647693163,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21
1.19,8.924453038607469,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
4.95,8.30539480106643,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21
